Sentence,Image1,Image2,Item,Group
Ela assistiu ao_filme e_de_repente João começou a_tocar violão.,Image13_A.png,Image13_B.png,D1,E
Ela sentou no_sofá e_só_assim ela conseguiu dormir.,Image14_B.png,Image14_A.png,D2,E
Sábado ela tomou o_sorvete depois_de comer a_comida.,Image01_A.png,Image01_B.png,1DMSC,E
Ela enviou mensagem para_João e_em_seguida ela chamou o_Uber.,Image15_A.png,Image15_B.png,D3,E
Domingo ela fechou a_torneira depois_de expor o_delito.,Image08_B.png,Image02_B.png,2DMSU,E
Quando ela bateu no_portão o_João se_assustou.,Image16_B.png,Image16_A.png,D4,E
No_feriado depois_de ligar o_celular ela ouviu a_música.,Image03_A.png,Image03_B.png,3DSMC,E
Assim_que ela amarrou a_chuteira ela chutou a_bola.,Image17_A.png,Image17_B.png,D5,E
Ontem ela assou_pão então hoje ela fez_sopa.,Image18_B.png,Image18_A.png,D6,E
Sexta-feira depois_de sujar a_janela ela pagou o_produto.,Image10_B.png,Image04_B.png,4DSMU,E
Ela ligou o_chuveiro e_de_repente João tocou a_campainha.,Image19_A.png,Image19_B.png,D7,E
Semana_passada ela quebrou a_travessa antes_de varrer o_tapete.,Image05_A.png,Image05_B.png,5AMSC,E
Ela esquentou o_lanche e_só_assim João arrumou a_mesa.,Image20_B.png,Image20_A.png,D8,E
Terça-feira ela olhou o_presente antes_de passar o_secador.,Image12_B.png,Image06_B.png,6AMSU,E
Ela organizou a_estante e_em_seguida descansou na_cama.,Image21_A.png,Image21_B.png,D9,E
Quando ela bebeu refrigerante ela colocou a_lata no_lixo.,Image22_B.png,Image22_A.png,D10,E
De_noite antes_de comprar o_vestido ela contou o_dinheiro.,Image07_A.png,Image07_B.png,7ASMC,E
Assim_que ela escreveu o_recado ela bateu na_porta.,Image23_A.png,Image23_B.png,D11,E
Hoje antes_de lavar a_camisa ela chamou a_polícia.,Image08_A.png,Image02_A.png,8ASMU,E
Ontem ela foi_à_praia então_hoje ela passou hidratante.,Image24_B.png,Image24_A.png,D12,E
Quinta-feira ela saldou a_dívida depois_de juntar o_salário.,Image09_A.png,Image09_B.png,9DMSC,E
Ela conferiu o_cardápio e_de_repente ela amassou o_guardanapo.,Image25_A.png,Image25_B.png,D13,E
Ela escreveu o_artigo e_só_assim ela leu o_livro.,Image26_B.png,Image26_A.png,D14,E
Domingo ela pegou a_carteira depois_de pintar a_parede.,Image10_A.png,Image04_A.png,10DMSU,E
Ela bordou o_short e_em_seguida ela tirou uma_foto.,Image27_A.png,Image27_B.png,D15,E
No_feriado depois_de abrir o_armário ela guardou o_casaco.,Image11_A.png,Image11_B.png,11DSMC,E
Quando ela apontou o_dedo João virou a_cabeça.,Image28_B.png,Image28_A.png,D16,E
Sábado depois_de rasgar o_plástico ela cortou o_cabelo.,Image12_A.png,Image06_A.png,12DSMU,E
Assim_que ela estendeu a_roupa ela puxou o_varal.,Image29_A.png,Image29_B.png,D17,E
Ontem ela imprimiu a_foto então_hoje ela montou um_mural.,Image30_B.png,Image30_A.png,D18,E
Sentence,Image1,Image2,Item,Group
Ela assistiu ao_filme e_de_repente João o_começou a_tocar violão.,Image13_A.png,Image13_B.png,D1,F
Ela sentou no_sofá e_só_assim ela conseguiu dormir.,Image14_B.png,Image14_A.png,D2,F
Sábado ela tomou o_sorvete depois_de comprar o_vestido.,Image07_B.png,Image01_B.png,1DMSU,F
